名前,学園,部活,年齢,誕生日,身長,HP,攻撃力,治癒力,命中値,会心値,安定値,CC強化力,会心ダメージ,射程距離,CC抵抗力,防御力,回避値,防御貫通値,コスト回復力
エイミ（臨戦）,ミレニアムサイエンススクール1年生,特異現象捜査部,15歳,5月1日,167cm,22768(★5Lv90),5284(★5Lv90),5947(★5Lv90),945,262,1896,100,200%,750,100,18/103,189,0,700
エリ,ワイルドハント芸術学院2年生,オカルト研究会（第4寮404号室）,16歳,10月31日,158cm,22793(★5Lv90),4255(★5Lv90),5938(★5Lv90),944,209,1900,100,200%,750,100,19/104,190,0,700
エリカ,ゲヘナ学園2年生,帰宅部（ゲヘナ）→キラキラ部*1,16歳,2月1日,166cm,27357(★5Lv90),3363(★5Lv90),6831(★5Lv90),524,262,2185,100,200%,1000,100,99/544,190,0,700
カエデ,百鬼夜行連合学院1年生,修行部,15歳,7月9日,142cm,19636(★5Lv90),2048(★5Lv90),6847(★5Lv90),105,210,1090,100,200%,1000,100,18/101,1042,0,700
カズサ,トリニティ総合学園1年生,放課後スイーツ部,15歳,8月5日,155cm,23777(★5Lv90),3359(★5Lv90),5708(★5Lv90),100,201,1388,100,200%,750,100,79/435,198,0,700
カズサ（バンド）,トリニティ総合学園1年生,放課後スイーツ部,15歳,8月5日,155cm,22990(★5Lv90),3810(★5Lv90),5893(★5Lv90),104,260,1340,100,200%,750,100,76/421,191,0,700
カスミ,ゲヘナ学園2年生,温泉開発部,16歳,5月24日,148cm,29642(★5Lv87),2819(★5Lv87),5773(★5Lv87),104,208,956,100,200%,550,100,19/104,1053,0,700
カノエ,ワイルドハント芸術学院3年生,オカルト研究会（第4寮404号室）,17歳,11月2日,144cm,58195(★5Lv90),7914(★5Lv90),4755(★5Lv90),630,210,1900,100,200%,350,100,171/940,228,0,700
カホ,百鬼夜行連合学院3年生,陰陽部,17歳,10月9日,173cm,26608(★5Lv87),3301(★5Lv87),5572(★5Lv87),704,201,1388,100,200%,650,100,19/109,794,0,700
カヨコ（正月）,ゲヘナ学園3年生,便利屋68,18歳,3月17日,157cm,30269(★5Lv90),1755(★5Lv90),5954(★5Lv90),105,210,948,100,200%,550,100,18/99,1042,0,700
カヨコ（ドレス）,ゲヘナ学園3年生,便利屋68,18歳,3月17日,157cm,31653(★5Lv90),2589(★5Lv90),5710(★5Lv90),403,201,988,100,200%,550,100,19/108,793,0,700
カリン,ミレニアムサイエンススクール2年生,Cleaning&Clearing,16歳,2月2日,170cm,21322(★5Lv90),3842(★5Lv90),6319(★5Lv90),873,194,2364,100,200%,1000,100,20/109,194,0,700
カリン（バニーガール）,ミレニアムサイエンススクール2年生,Cleaning&Clearing,16歳,2月2日,170cm,24010(★5Lv90),4794(★5Lv90),5653(★5Lv90),898,199,2000,100,200%,750,100,20/110,200,0,700
カンナ,ヴァルキューレ警察学校3年生,公安局,17歳,9月7日,166cm,(★5Lv85),(★5Lv85),(★5Lv85),792,211,1081,100,200%,1000,100,62/329,1036,0,700
カンナ（水着）,ヴァルキューレ警察学校3年生,公安局,17歳,9月7日,166cm,28970(★5Lv90),2075(★5Lv90),6185(★5Lv90),109,218,904,100,200%,550,100,18/99,998,0,700
キキョウ,百鬼夜行連合学院2年生,百花繚乱紛争調停委員会,16歳,8月8日,160cm,22720(★5Lv90),3454(★5Lv90),5955(★5Lv90),946,210,1892,100,200%,750,100,18/103,189,0,700
キキョウ（水着）,百鬼夜行連合学院2年生,百花繚乱紛争調停委員会,16歳,8月8日,160cm,27130(★5Lv90),3389(★5Lv90),6882(★5Lv90),528,264,2167,100,200%,1000,100,98/539,188,0,700
キサキ,山海経高級中学校3年生,玄龍門,17歳,2月19日,142cm,25954(★5Lv90),3521(★5Lv90),7147(★5Lv90),713,274,1449,100,200%,1000,100,93/516,1082,0,700
キララ,ゲヘナ学園2年生,帰宅部→キラキラ部,16歳,2月24日,159cm,26068(★5Lv90),3570(★5Lv90),5974(★5Lv90),738,263,1320,100,200%,650,100,18/103,755,0,700
クルミ,SRT特殊学園3年生,FOX小隊,17歳,9月30日,151cm,58122(★5Lv90),3022(★5Lv90),4760(★5Lv90),105,210,1328,100,200%,350,100,170/938,227,0,700
ケイ,ミレニアムサイエンススクール1年生,特異現象捜査部,??歳,3月25日,152cm,18657(★5Lv90),5144(★5Lv90),4572(★5Lv90),605,201,1384,100,200%,850,100,69/380,198,0,700
ココナ,山海経高級中学校1年生,訓育支援部「梅花園」,11歳,6月1日,139cm,27762(★5Lv90),2868(★5Lv90),9298(★5Lv90),766,219,1264,100,200%,650,100,22/124,723,0,700
コタマ（キャンプ）,ミレニアムサイエンススクール3年生,ヴェリタス,17歳,1月5日,158cm,30207(★5Lv90),1867(★5Lv90),5965(★5Lv90),105,210,944,100,200%,550,100,18/103,1040,0,700
コトリ（応援団）,ミレニアムサイエンススクール1年生,エンジニア部,15歳,12月31日,151cm,23196(★5Lv87),4304(★5Lv87),5555(★5Lv87),100,200,1392,100,200%,750,100,79/426,199,0,700
コノカ,ヴァルキューレ警察学校2年生,公安局,16歳,8月19日,165cm,60931(★5Lv90),3558(★5Lv90),4552(★5Lv90),603,201,1988,100,200%,350,100,179/984,238,0,700
コハル,トリニティ総合学園1年生,正義実現委員会↓補習授業部,15歳,4月16日,148cm,25965(★5Lv90),2900(★5Lv90),8708(★5Lv90),923,205,1948,100,200%,750,100,24/134,194,0,700
コユキ,ミレニアムサイエンススクール1年生,セミナー,15歳,2月14日,149cm,21699(★5Lv85),4587(★5Lv85),5718(★5Lv85),104,209,1332,100,200%,750,100,76/398,190,0,700
コユキ（パジャマ）,ミレニアムサイエンススクール1年生,セミナー,15歳,2月14日,149cm,26917(★5Lv90),3412(★5Lv90),6926(★5Lv90),691,266,1504,100,200%,1000,100,97/535,187,0,700
サオリ,アリウス分校2年生,アリウススクワッド,17歳,9月3日,167cm,26297(★5Lv87),2920(★5Lv87),5639(★5Lv87),712,203,1372,100,200%,650,100,19/107,785,0,700
サオリ（水着）,アリウス分校2年生,アリウススクワッド,17歳,9月3日,167cm,26289(★5Lv90),3396(★5Lv90),5931(★5Lv90),733,209,1332,100,200%,650,100,19/104,761,0,700
サオリ（ドレス）,アリウス分校2年生,アリウススクワッド,17歳,9月3日,167cm,27063(★5Lv90),3429(★5Lv90),5772(★5Lv90),713,203,1372,100,200%,650,100,19/107,784,0,700
サキ,SRT特殊学園1年生,RABBIT小隊,15歳,4月9日,161cm,19436(★5Lv85),3815(★5Lv85),6366(★5Lv85),101,202,1582,100,200%,1000,100,78/432,197,0,700
サキ（水着）,SRT特殊学園1年生,RABBIT小隊,15歳,4月9日,161cm,20211(★5Lv90),3949(★5Lv90),5954(★5Lv90),420,210,1324,100,200%,750,100,49/273,189,0,700
サクラコ,トリニティ総合学園3年生,シスターフッド,17歳,10月4日,160cm,27577(★5Lv90),3738(★5Lv90),5668(★5Lv90),700,200,1396,100,200%,650,100,19/106,799,0,700
サクラコ（アイドル）,トリニティ総合学園3年生,シスターフッド,17歳,10月4日,160cm,27577(★5Lv90),2629(★5Lv90),5668(★5Lv90),700,200,1396,100,200%,650,100,19/109,799,0,700
サツキ,ゲヘナ学園3年生,万魔殿,17歳,4月10日,172cm,18177(★5Lv90),4382(★5Lv90),6591(★5Lv90),569,253,1132,100,200%,1000,100,65/362,1086,0,700
サヤ,山海経高級中学校2年生,錬丹術研究会,16歳,1月3日,149cm,21067(★5Lv90),2701(★5Lv90),6395(★5Lv90),98,245,1168,100,200%,1000,100,20/112,1080,0,700
サヤ（私服）,山海経高級中学校2年生,錬丹術研究会,16歳,1月3日,149cm,19663(★5Lv90),2888(★5Lv90),6840(★5Lv90),420,262,1090,100,200%,1000,100,18/103,759,0,700
シグレ,レッドウィンター連邦学園2年生,227号特別クラス,16歳,1月22日,156cm,25983(★5Lv90),3758(★5Lv90),5994(★5Lv90),105,211,940,100,200%,650,100,18/103,188,0,700
シグレ（温泉）,レッドウィンター連邦学園2年生,227号特別クラス,16歳,1月22日,156cm,26082(★5Lv90),3507(★5Lv90),10678(★5Lv90),820,273,1040,100,200%,1000,100,94/518,631,0,700
ジュリ（アルバイト）,ゲヘナ学園1年生,給食部,15歳,10月20日,170cm,56216(★5Lv90),2984(★5Lv90),4900(★5Lv90),649,216,1832,100,200%,350,100,165/908,220,0,700
シュン,山海経高級中学校3年生,訓育支援部「梅花園」,極秘,2月5日,174cm,23740(★5Lv90),4485(★5Lv90),5715(★5Lv90),908,252,1980,100,200%,750,100,19/108,201,0,700
シュン（幼女）,山海経高級中学校3年生,訓育支援部「梅花園」,極秘,2月5日,未測定,23924(★5Lv90),5831(★5Lv90),5674(★5Lv90),902,200,1992,100,200%,750,100,19/109,199,0,700
シロコ,アビドス高等学校2年生,対策委員会,16歳,5月16日,156cm,27319(★5Lv90),3878(★5Lv90),5720(★5Lv90),707,202,1384,100,200%,650,100,19/105,808,0,700
シロコ（ライディング）,アビドス高等学校2年生,対策委員会,16歳,5月16日,156cm,25969(★5Lv90),4018(★5Lv90),5996(★5Lv90),741,211,1316,100,200%,650,100,18/103,752,0,700
シロコ（水着）,アビドス高等学校2年生,対策委員会,16歳,5月16日,156cm,18105(★5Lv90),4236(★5Lv90),6616(★5Lv90),660,254,1582,100,200%,1000,100,65/360,786,0,700
シロコ＊テラー,アビドス高等学校3年生,アビドス生徒会,17歳,5月16日,165cm,27246(★5Lv90),3267(★5Lv90),5734(★5Lv90),709,253,1380,100,200%,650,100,19/108,789,0,700
スズミ（マジカル）,トリニティ総合学園2年生,トリニティ自警団,16歳,8月31日,162cm,23380(★5Lv90),3910(★5Lv90),4742(★5Lv90),732,209,1332,100,200%,650,100,16/92,762,0,700
スバル,アリウス分校3年生,ニコメディアトゥループ,17歳,3月9日,166cm,25282(★5Lv90),3420(★5Lv90),6137(★5Lv90),759,216,1280,100,200%,650,100,18/100,732,0,700
スミレ,ミレニアムサイエンススクール2年生,トレーニング部,16歳,8月20日,167cm,38492(★5Lv90),2635(★5Lv90),5611(★5Lv90),594,198,2016,100,200%,450,100,121/665,198,0,700
スミレ（アルバイト）,ミレニアムサイエンススクール2年生,トレーニング部,16歳,8月20日,167cm,26633(★5Lv90),3445(★5Lv90),6993(★5Lv90),537,268,2125,100,200%,1000,100,96/529,185,0,700
セイア,トリニティ総合学園3年生,ティーパーティー,17歳,9月29日,149cm,27021(★5Lv90),2517(★5Lv90),5931(★5Lv90),104,209,952,100,200%,550,100,16/91,1047,0,700
セイア（水着）,トリニティ総合学園3年生,ティーパーティー,17歳,9月29日,149cm,26984(★5Lv90),3018(★5Lv90),4752(★5Lv90),104,209,948,100,200%,550,100,16/91,1045,0,700
セナ,ゲヘナ学園3年生,救急医学部,17歳,4月7日,155cm,18984(★5Lv90),2109(★5Lv90),7051(★5Lv90),108,216,1053,100,200%,1000,100,18/101,1008,0,700
セナ（私服）,ゲヘナ学園3年生,救急医学部,17歳,4月7日,155cm,29898(★5Lv90),5284(★5Lv90),8707(★5Lv90),102,205,972,100,200%,650,100,24/134,136,0,700
セリカ（正月）,アビドス高等学校1年生,対策委員会,15歳,6月25日,153cm,28807(★5Lv90),2868(★5Lv90),7103(★5Lv90),763,218,1463,100,200%,1000,100,18/100,727,0,700
セリカ（水着）,アビドス高等学校1年生,対策委員会,15歳,6月25日,153cm,17383(★5Lv90),4399(★5Lv90),6871(★5Lv90),686,263,1518,100,200%,1000,100,62/345,755,0,700
セリナ（クリスマス）,トリニティ総合学園2年生,救護騎士団,16歳,1月6日,156cm,25012(★5Lv90),2894(★5Lv90),6194(★5Lv90),765,218,1268,100,200%,650,100,18/99,724,0,700
タカネ,レッドウィンター連邦学園2年生,出版部,16歳,6月18日,148cm,32253(★5Lv90),2728(★5Lv90),9263(★5Lv90),109,218,908,100,200%,550,100,22/124,699,0,700
チアキ,ゲヘナ学園2年生,万魔殿,16歳,9月22日,167cm,27063(★5Lv90),4105(★5Lv90),5772(★5Lv90),713,203,1372,100,200%,650,100,19/107,784,0,700
チェリノ,レッドウィンター連邦学園3年生,レッドウィンター事務局,??歳,10月27日,128cm,31396(★5Lv90),2403(★5Lv90),5754(★5Lv90),101,203,980,100,200%,550,100,19/107,1081,0,700
チェリノ（温泉）,レッドウィンター連邦学園3年生,レッドウィンター事務局,??歳,10月27日,128cm,20500(★5 Lv90),2776(★5 Lv90),6575(★5 Lv90),101,252,1136,100,200%,1000,100,19/108,1088,0,700
チセ（水着）,百鬼夜行連合学院2年生,陰陽部,16歳,7月13日,159cm,27283(★5Lv90),3146(★5Lv90),5727(★5Lv90),101,202,988,100,200%,650,100,19/108,197,0,700
チナツ（温泉）,ゲヘナ学園1年生,風紀委員会,15歳,8月22日,159cm,25160(★5Lv90),1552(★5Lv90),6162(★5Lv90),108,217,908,100,200%,650,100,18/100,1002,0,700
チヒロ,ミレニアムサイエンススクール3年生,ヴェリタス,17歳,4月26日,160cm,20444(★5Lv90),3757(★5Lv90),6593(★5Lv90),708,202,1587,100,200%,1000,100,19/108,789,0,700
ツクヨ,百鬼夜行連合学院1年生,忍術研究部,15歳,4月5日,180cm,55604(★5Lv90),1866(★5Lv90),6182(★5Lv90),109,218,1268,100,200%,350,100,27/149,1307,0,700
ツクヨ（ドレス）,百鬼夜行連合学院1年生,忍術研究部,15歳,4月5日,180cm,61066(★5Lv90),2935(★5Lv90),4542(★5Lv90),100,200,1392,100,200%,350,100,29/164,1435,0,700
ツバキ（ガイド）,百鬼夜行連合学院2年生,修行部,16歳,2月3日,162cm,26096(★5Lv90),3504(★5Lv90),7113(★5Lv90),710,273,1458,100,200%,1000,100,94/519,1088,0,700
ツルギ,トリニティ総合学園3年生,正義実現委員会,17歳,6月24日,162cm,43545(★5Lv90),5375(★5Lv90),5506(★5Lv90),642,243,2052,100,200%,450,100,138/762,175,0,700
トキ,ミレニアムサイエンススクール1年生,Cleaning&Clearing,16歳,8月16日,165cm,27442(★5Lv90),3236(★5Lv90),5694(★5Lv90),704,201,1388,100,200%,650,100,19/109,795,0,700
トキ（バニーガール）,ミレニアムサイエンススクール1年生,Cleaning&Clearing,16歳,8月16日,165cm,27307(★5Lv90),3731(★5Lv90),5720(★5Lv90),707,252,1384,100,200%,650,100,19/108,791,0,700
トモエ（チーパオ）,レッドウィンター連邦学園3年生,レッドウィンター事務局,17歳,11月10日,165cm,26451(★5Lv90),3466(★5Lv90),7035(★5Lv90),540,270,2111,100,200%,1000,100,95/526,183,0,700
ナギサ,トリニティ総合学園3年生,ティーパーティー,17歳,7月4日,160cm,18177(★5Lv90),3896(★5Lv90),9228(★5Lv90),759,202,1132,100,200%,1000,100,65/361,977,0,700
ナギサ（水着）,トリニティ総合学園3年生,ティーパーティー,17歳,7月4日,160cm,27130(★5Lv90),3389(★5Lv90),6882(★5Lv90),792,264,1081,100,200%,1000,100,98/539,1037,0,700
ナグサ,百鬼夜行連合学院3年生,百花繚乱紛争調停委員会,17歳,12月7日,161cm,23567(★5Lv90),4237(★5Lv90),5756(★5Lv90),915,203,1964,100,200%,750,100,19/107,196,0,700
ナグサ（水着）,百鬼夜行連合学院3年生,百花繚乱紛争調停委員会,17歳,12月7日,161cm,24194(★5Lv90),3080(★5Lv90),5610(★5Lv90),891,198,2016,100,200%,750,100,20/111,201,0,700
ナツ,トリニティ総合学園1年生,放課後スイーツ部,15歳,12月4日,152cm,51719(★5Lv90),1970(★5Lv90),6126(★5Lv90),108,216,1100,100,200%,350,100,165/908,220,0,700
ナツ（バンド）,トリニティ総合学園1年生,放課後スイーツ部,15歳,12月4日,152cm,41587(★5Lv90),2322(★5Lv90),8653(★5Lv90),101,203,1372,100,200%,450,100,24/135,823,0,700
ニコ,SRT特殊学園3年生,FOX小隊,17歳,2月11日,160cm,25131(★5Lv90),2488(★5Lv90),4581(★5Lv90),607,202,1976,100,200%,450,100,29/162,197,0,700
ニヤ,百鬼夜行連合学院3年生,陰陽部,17歳,1月1日,166cm,17723(★5Lv90),4323(★5Lv90),6750(★5Lv90),777,259,1104,100,200%,1000,100,64/353,1059,0,700
ネル,ミレニアムサイエンススクール3年生,Cleaning&Clearing,17歳,8月17日,146cm,38210(★5Lv90),2895(★5Lv90),5653(★5Lv90),99,274,1400,100,200%,450,100,17/93,958,0,700
ネル（バニーガール）,ミレニアムサイエンススクール3年生,Cleaning&Clearing,17歳,8月17日,146cm,46040(★5Lv90),2107(★5Lv90),6198(★5Lv90),109,219,1264,100,200%,450,100,27/148,1303,0,700
ネル（制服）,ミレニアムサイエンススクール3年生,Cleaning&Clearing,17歳,8月17日,146cm,31211(★5Lv90),4398(★5Lv90),6111(★5Lv90),107,215,1288,100,200%,450,100,16/88,993,0,700
ノア,ミレニアムサイエンススクール2年生,セミナー,16歳,4月13日,161cm,30687(★5Lv87),1466(★5Lv87),5585(★5Lv87),100,201,988,100,200%,550,100,19/108,1090,0,700
ノア（パジャマ）,ミレニアムサイエンススクール2年生,セミナー,16歳,4月13日,161cm,30489(★5Lv90),2210(★5Lv90),5916(★5Lv90),104,261,952,100,200%,550,100,19/104,1050,0,700
ノゾミ,ハイランダー鉄道学園1年生,CCC,15歳,6月14日,147cm,26458(★5Lv90),4104(★5Lv90),6043(★5Lv90),106,213,932,100,200%,550,100,16/89,922,0,700
ノドカ（温泉）,レッドウィンター連邦学園2年生,227号特別クラス,16歳,02月20日,147cm,21081(★5Lv90),2236(★5Lv90),10584(★5Lv90),108,216,1472,100,200%,1000,100,22/125,1099,0,700
ノノミ（水着）,アビドス高等学校2年生,対策委員会,16歳,9月1日,160cm,23875(★5Lv90),3810(★5Lv90),5684(★5Lv90),100,251,1392,100,200%,750,100,79/437,199,0,700
ハスミ（水着）,トリニティ総合学園3年生,正義実現委員会,17歳,12月12日,179cm,22780(★5Lv90),5097(★5Lv90),5944(★5Lv90),945,210,1900,100,200%,750,100,19/104,190,0,700
ハナエ（クリスマス）,トリニティ総合学園1年生,救護騎士団,15歳,5月12日,150cm,20967(★5Lv90),2617(★5Lv90),10631(★5Lv90),707,217,1463,100,200%,1000,100,75/405,728,0,700
ハナコ（水着）,トリニティ総合学園2年生,補習授業部,16歳,1月3日,161cm,27528(★5Lv90),4219(★5Lv90),5675(★5Lv90),701,200,1396,100,200%,650,100,19/109,797,0,700
ハルカ（正月）,ゲヘナ学園1年生,便利屋68,15歳,5月13日,157cm,18786(★5Lv90),2978(★5Lv90),7114(★5Lv90),546,218,2084,100,200%,1000,100,60/331,181,0,700
ハルカ（ドレス）,ゲヘナ学園1年生,便利屋68,15歳,5月13日,157cm,37182(★5Lv90),3911(★5Lv90),5805(★5Lv90),615,205,1948,100,200%,450,100,116/642,194,0,700
ハルナ,ゲヘナ学園3年生,美食研究会,17歳,3月1日,163cm,23322(★5Lv90),5212(★5Lv90),5815(★5Lv90),924,205,1944,100,200%,750,100,19/106,205,0,700
ハルナ（正月）,ゲヘナ学園3年生,美食研究会,17歳,3月1日,163cm,22879(★5Lv90),4644(★5Lv90),5918(★5Lv90),941,209,1908,100,200%,750,100,19/104,190,0,700
ハルナ（体操服）,ゲヘナ学園3年生,美食研究会,17歳,3月1日,163cm,26436(★5Lv90),3466(★5Lv90),10556(★5Lv90),540,270,2111,100,200%,1000,100,95/511,183,0,700
ハレ（キャンプ）,ミレニアムサイエンススクール2年生,ヴェリタス,16歳,4月19日,153cm,28178(★5Lv90),2210(★5Lv90),5752(★5Lv90),711,203,1376,100,200%,650,100,19/108,787,0,700
ヒカリ,ハイランダー鉄道学園1年生,CCC,15歳,6月14日,147cm,26212(★5Lv90),3311(★5Lv90),4874(★5Lv90),107,215,920,100,200%,550,100,16/88,1015,0,700
ヒナ,ゲヘナ学園3年生,風紀委員会,17歳,2月19日,142cm,24059(★5Lv90),3541(★5Lv90),5639(★5Lv90),99,199,1404,100,200%,750,100,80/440,199,0,700
ヒナ（水着）,ゲヘナ学園3年生,風紀委員会,17歳,2月19日,142cm,22236(★5Lv85),3966(★5Lv85),5588(★5Lv85),102,204,1364,100,200%,750,100,78/409,195,0,700
ヒナ（ドレス）,ゲヘナ学園3年生,風紀委員会,17歳,2月19日,142cm,20924(★5Lv90),4823(★5Lv90),5763(★5Lv90),101,203,1372,100,200%,750,100,68/377,176,357,700
ヒナタ,トリニティ総合学園3年生,シスターフッド,17歳,5月17日,166cm,27270(★5Lv90),2422(★5Lv90),5728(★5Lv90),101,202,984,100,200%,650,100,19/108,1086,0,700
ヒナタ（水着）,トリニティ総合学園3年生,シスターフッド,17歳,5月17日,166cm,18389(★5Lv90),4173(★5Lv90),6517(★5Lv90),750,250,1145,100,200%,1000,100,66/365,1098,0,700
ヒビキ,ミレニアムサイエンススクール1年生,エンジニア部,15歳,4月2日,154cm,20599(★5Lv90),3426(★5Lv90),6545(★5Lv90),100,201,1141,100,200%,1000,100,79/437,201,0,700
ヒフミ,トリニティ総合学園2年生,補習授業部,16歳,11月27日,158cm,27615(★5Lv90),2716(★5Lv90),5659(★5Lv90),699,199,1400,100,200%,650,100,20/110,799,0,700
ヒフミ（水着）,トリニティ総合学園2年生,補習授業部,16歳,11月27日,158cm,19933(★5Lv90),3850(★5Lv90),6756(★5Lv90),726,259,1546,100,200%,1000,100,19/105,769,0,700
ヒマリ,ミレニアムサイエンススクール3年生,特異現象捜査部,17歳,12月10日,162cm,30119(★5Lv90),3056(★5Lv90),6202(★5Lv90),714,238,1201,100,200%,1000,100,109/599,1151,0,700
ヒマリ（臨戦）,ミレニアムサイエンススクール3年生,特異現象捜査部,17歳,12月10日,162cm,26054(★5Lv90),3510(★5Lv90),7123(★5Lv90),820,273,1040,100,200%,1000,100,94/517,996,0,700
